Supermercado,Semana,Fecha,Marca,Descripcion,Promo,Precio,Precio2,Imagen,Disponibilidad,Link
Lider,40,07-10-2023,Lider,"Lavaloza Limón Doypack, 1 L",$1.990,$2.490,,,,https://www.lider.cl/supermercado/product/sku/120030/lider-lavaloza-limon-doypack-1-l
Lider,40,07-10-2023,Quix,"Lavaloza Antibacterial Concentrado, 1,2 L",$4.190,,,,,https://www.lider.cl/supermercado/product/sku/4443919/quix-lavaloza-antibacterial-concentrado-12-l
Lider,40,07-10-2023,Finish,"Detergente en Tabletas para lavavajillas, 13 Un",$6.190,,,,,https://www.lider.cl/supermercado/product/sku/953025/finish-detergente-en-tabletas-para-lavavajillas-13-un
Lider,40,07-10-2023,Lider,"Sal Lavavajillas, 1 kg",$2.290,,,,,https://www.lider.cl/supermercado/product/sku/1120294/lider-sal-lavavajillas-1-kg
Lider,40,07-10-2023,Lider,"Lavalozas Limon Recarga, 1300 ml",$2.690,,,,,https://www.lider.cl/supermercado/product/sku/11633/lider-lavalozas-limon-recarga-1300-ml
Lider,40,07-10-2023,Cif,"Cif Active Gel Concentrado Limón Verde, 300 ml",$1.390,$1.990,,,,https://www.lider.cl/supermercado/product/sku/922963/cif-cif-active-gel-concentrado-limon-verde-300-ml
Lider,40,07-10-2023,Magistral,"Lavalozas Líquido Ultra Aloe, 750 ml",$5.690,,,,,https://www.lider.cl/supermercado/product/sku/624289/magistral-lavalozas-liquido-ultra-aloe-750-ml
Lider,40,07-10-2023,Great Value,"Detergente lavavajilla en cápsula tradicional, 32 Un",$5.190,$6.190,,,,https://www.lider.cl/supermercado/product/sku/1348760/great-value-detergente-lavavajilla-en-capsula-tradicional-32-un
Lider,40,07-10-2023,Dawn,"Lavalozas Limón Concentrado, 500 ml",$5.490,,,https://images.lider.cl/wmtcl?source=url[file:/productos/745740a.jpg]&scale=size[180x180]&sink,,https://www.lider.cl/supermercado/product/sku/745740/dawn-lavalozas-limon-concentrado-500-ml
Lider,40,07-10-2023,Dawn,"Lavalozas Original Blue Concentrado, 638 ml",$5.690,,,https://images.lider.cl/wmtcl?source=url[file:/productos/1341553a.jpg]&scale=size[180x180]&sink,,https://www.lider.cl/supermercado/product/sku/1341553/dawn-lavalozas-original-blue-concentrado-638-ml
Lider,40,07-10-2023,Finish,"Detergente en Polvo para lavavajillas Doypack, 1 kg",$6.490,,,https://images.lider.cl/wmtcl?source=url[file:/productos/1095685a.jpg]&scale=size[180x180]&sink,,https://www.lider.cl/supermercado/product/sku/1095685/finish-detergente-en-polvo-para-lavavajillas-doypack-1-kg
Lider,40,07-10-2023,Quix,"Lavaloza Piel Sensible Con Bio Activos Concentrado 500 ml, 500 ml",$2.790,,,https://images.lider.cl/wmtcl?source=url[file:/productos/1342359a.jpg]&scale=size[180x180]&sink,,https://www.lider.cl/supermercado/product/sku/1342359/quix-lavaloza-piel-sensible-con-bio-activos-concentrado-500-ml-500-ml
Lider,40,07-10-2023,Dawn,"Lavalozas Free & Clear Concentrado, 709 ml",$5.990,,,,,https://www.lider.cl/supermercado/product/sku/1341555/dawn-lavalozas-free-clear-concentrado-709-ml
Lider,40,07-10-2023,Great Value,"Detergente lavavajilla en cápsula triple acción, 32 Un",$8.990,,,,,https://www.lider.cl/supermercado/product/sku/1348762/great-value-detergente-lavavajilla-en-capsula-triple-accion-32-un
Lider,40,07-10-2023,Virutex,"Lavaloza Ecológico, 1200 ml",$3.750,,,,,https://www.lider.cl/supermercado/product/sku/1341565/virutex-lavaloza-ecologico-1200-ml
Lider,40,07-10-2023,Lider,"Lavalozas Limon, 750 ml",$2.290,,,,,https://www.lider.cl/supermercado/product/sku/869/lider-lavalozas-limon-750-ml
Lider,40,07-10-2023,Freemet,"Lavaloza Freemet Aloe Vera, 1 L",$4.850,$5.690,,,,https://www.lider.cl/supermercado/product/sku/1341718/freemet-lavaloza-freemet-aloe-vera-1-l
