Supermercado,Semana,Fecha,marca,descripcion,promo,precio,imagen,promo_exclusiva,link
Jumbo,40,06-10-2023,Frosch,Lavaloza Frosch 750 ml,$3.820,,https://jumbo.vtexassets.com/arquivos/ids/638060-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavalozas-frosch-750-ml-2/p
Jumbo,40,06-10-2023,Mrs. Meyer´s,Lavaloza Mrs. Meyer's Honeysuckle 473 ml,$2.699,,https://jumbo.vtexassets.com/arquivos/ids/673710-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavalozas-honeysuckle-473-ml/p
Jumbo,40,06-10-2023,Dawn,Lavalozas Dawn Ultra Concentrado 221 ml,$2.899,,https://jumbo.vtexassets.com/arquivos/ids/720628-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavalozas-dawn-blue-ultra-221-ml-1952407/p
Jumbo,40,06-10-2023,Fuzol,Lavalozas Fuzol Bio Recarga 1.5 L,$3.299,,https://jumbo.vtexassets.com/arquivos/ids/465458-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavalozas-fuzol-bio-recarga-1-5lt-1892370/p
Jumbo,40,06-10-2023,Virutex,Lavalozas Virutex Higienizante 500 ml,$1.699,,https://jumbo.vtexassets.com/arquivos/ids/589555-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavaloza-virutex-higienizante-500ml-1939132/p
Jumbo,40,06-10-2023,Dawn,Lavalozas Dawn Concentrado Squeeze 434 ml,$4.489,,https://jumbo.vtexassets.com/arquivos/ids/614760-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavalozas-dawn-blue-squeeze-435ml-1946111/p
Jumbo,40,06-10-2023,Dawn,Lavalozas Dawn Concentrado Free & Clear 709 ml,$6.199,,https://jumbo.vtexassets.com/arquivos/ids/461588-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavaloza-dawn-free-and-clear-lemon-709ml-1898660/p
Jumbo,40,06-10-2023,Virginia,Lavalozas Virginia Concentrado Limón 750 ml,$2.349,,https://jumbo.vtexassets.com/arquivos/ids/461291-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavalozas-virginia-envase-750-ml-concentrado/p
Jumbo,40,06-10-2023,Virutex,Lavalozas Virutex Higienizante 1.2 L,$3.199,,https://jumbo.vtexassets.com/arquivos/ids/589559-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavalozavirutex-higienizante-1200ml-1939133/p
Jumbo,40,06-10-2023,Pril,Lavalozas Pril Sensitive Aloe Vera 500 ml,$1.999,$2.999,https://jumbo.vtexassets.com/arquivos/ids/184078-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavalozas-pril-500-ml-sensitive-aloe-vera/p
Jumbo,40,06-10-2023,Frosch,Lavaloza Frosch Aloe Vera 500 ml,$3.899,,https://jumbo.vtexassets.com/arquivos/ids/626770-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavaloza-aloe-vera-500-ml/p
Jumbo,40,06-10-2023,Frosch,Lavaloza Frosch Limón 750 ml,$4.399,,https://jumbo.vtexassets.com/arquivos/ids/644563-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavaloza-limon-750-ml/p
Jumbo,40,06-10-2023,Dawn,Lavalozas Dawn Repuesto Powerwash 473 ml,$6.619,,https://jumbo.vtexassets.com/arquivos/ids/460233-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavaloza-dawn-powerwash-refill-473ml-1898659/p
Jumbo,40,06-10-2023,Magistral,Lavalozas Magistral Concentrado Pureza Activa 480 ml,$4.349,,https://jumbo.vtexassets.com/arquivos/ids/479243-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavalozas-pureza-activa-480-ml/p
